id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1405213,51.826519,11.085902,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
1405867,50.483731,6.526786,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1417889,50.449765,6.443518,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1453952,44.263378,19.897557,Aglais io,Aglais io,European Peacock,Insecta,207977
1463009,50.453105,6.466259,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1490569,53.996875,-0.42598,Inachis io,Aglais io,European Peacock,Insecta,207977
1495693,50.540381,6.5886,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1505760,42.7081599563,-1.5919661522,Inachis io,Aglais io,European Peacock,Insecta,207977
1512259,60.221337,24.855323,Aglais io,Aglais io,European Peacock,Insecta,207977
1523448,57.0416637378,24.1851997375,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1527727,59.883552,10.712743,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1541553,54.68916,25.2798,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1544727,51.79471,-0.65824,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1544734,51.79471,-0.65824,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1554640,51.35,-0.2,European Peacock,Aglais io,European Peacock,Insecta,207977
1557866,54.348025,-1.28823,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1579575,50.456397,6.455401,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1630297,59.225768,18.049639,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1638103,52.08093,23.719059,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1644096,42.672073,-1.609522,Inachis io,Aglais io,European Peacock,Insecta,207977
1644265,43.46981222,11.82751598,Inachis io,Aglais io,European Peacock,Insecta,207977
1690679,42.640084,24.351186,Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1726357,45.177681,8.5311,Inachis io,Aglais io,European Peacock,Insecta,207977
1733174,52.080386,23.673009,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1739175,52.082526,23.732491,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1748319,49.3363616667,9.7948133333,Aglais io,Aglais io,European Peacock,Insecta,207977
1755417,51.131794,-1.947144,Inachis io,Aglais io,European Peacock,Insecta,207977
1772031,51.969945,23.892667,Aglais io,Aglais io,European Peacock,Insecta,207977
1773355,51.3038,12.4659666667,Aglais io,Aglais io,European Peacock,Insecta,207977
1776120,52.265573,10.535733,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
1780272,51.30342,12.4772466667,Aglais io,Aglais io,European Peacock,Insecta,207977
1780471,44.809642,7.433518,Aglais io,Aglais io,European Peacock,Insecta,207977
1780605,42.024555,2.866098,Paó de dia (Inachis io),Aglais io,European Peacock,Insecta,207977
1798864,55.911038,36.963394,Aglais io,Aglais io,European Peacock,Insecta,207977
1803982,44.6085,9.1814444444,Inachis io,Aglais io,European Peacock,Insecta,207977
1810679,54.869179,37.100006,Inachis io,Aglais io,European Peacock,Insecta,207977
1816505,50.90915,-0.528407,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1825088,52.970475,12.9643,Inachis io,Aglais io,European Peacock,Insecta,207977
1825089,52.970425,12.96403,Inachis io,Aglais io,European Peacock,Insecta,207977
1825842,50.690327,6.600884,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
1826016,50.688175,6.597412,Aglais io,Aglais io,European Peacock,Insecta,207977
1833894,51.222227,4.414281,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1838219,47.600341,13.042548,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1846972,50.163924,6.468372,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1853693,49.320171,-1.273041,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1853741,49.321318,-1.274672,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1855882,50.428206,6.621044,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1858547,50.503437,6.254096,European Peacock Butterfly (Tagpfauenauge),Aglais io,European Peacock,Insecta,207977
1865887,53.3706579,-1.4937397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1871072,58.904721,17.947151,European Peacock Butterfly (Inachis io),Aglais io,European Peacock,Insecta,207977
1884840,54.181532,7.882678,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1893703,50.462886,6.340517,European Peacock Butterfly (Tagpfauenauge),Aglais io,European Peacock,Insecta,207977
1904286,55.6073033333,-1.70642,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1909595,51.296013,12.646444,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1928229,55.857602,12.374854,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1971975,45.2660519825,7.7661301256,Inachis Io,Aglais io,European Peacock,Insecta,207977
1986112,49.032984,8.509769,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
1996945,51.2636766667,12.384345,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2007736,51.2950016667,12.50248,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2011745,45.020684,7.115249,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2086569,50.457535,6.462608,European Peacock Butterfly (Tagpfauenauge),Aglais io,European Peacock,Insecta,207977
2097620,51.164966,8.931809,Aglais io,Aglais io,European Peacock,Insecta,207977
2111022,45.0179726,8.5631191,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2312361,41.898955,13.299868,Inachis io,Aglais io,European Peacock,Insecta,207977
2348004,45.40353,10.621076,Occhio di pavone (Inachis io),Aglais io,European Peacock,Insecta,207977
2351216,52.049179,4.5054,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2351332,43.180077,12.279432,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2405818,45.817255,2.324724,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2411363,45.3841915791,9.0691173697,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2411771,51.83819,5.010602,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2523605,44.8762064335,7.0519643823,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2523614,44.8661553791,7.1287792969,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2621943,45.0491811247,10.2505418727,European Peacock Butterfly (Inachis io),Aglais io,European Peacock,Insecta,207977
2632913,41.962285,12.436953,inachis io,Aglais io,European Peacock,Insecta,207977
2633102,42.467982,9.475375,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2656242,51.730923,-0.80419,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2656463,48.814522,2.104716,Aglais io,Aglais io,European Peacock,Insecta,207977
2672658,51.620364,-0.212066,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2699160,45.1470069929,10.3559373061,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2702730,45.136714,10.433954,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2745141,45.0185895582,10.2717930633,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2771367,45.4727133333,10.9911116667,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2791706,45.062374,7.482161,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2802355,45.0572086947,10.3535042392,Occhio di pavone (Inachis io),Aglais io,European Peacock,Insecta,207977
2825835,44.904987,7.248163,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
2828027,45.27644234,9.76087564,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2828755,51.1693166667,-3.3260366667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2847066,41.100932,15.027607,Inachis io,Aglais io,European Peacock,Insecta,207977
2847522,49.105737,8.37248,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2886012,51.2711633333,12.382765,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2886051,51.823618,11.088818,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
2890061,52.147033,10.74062,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
2893523,45.740514,14.369216,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2905550,54.2633133333,13.016715,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2906218,52.265532,10.535516,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
2916182,41.67935,0.951102,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2917792,50.444328,6.447129,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2919353,49.088086,8.577413,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2922352,47.690976,10.076566,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2923028,41.890717,2.620666,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2930104,51.7734489167,4.6799297222,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2938810,45.1632444444,7.4449055556,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2941967,53.218066,6.500236,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2972521,51.305735,12.4657216667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2981798,45.1379890442,10.4367856979,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
2992005,51.29469,12.6509816667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3001037,52.265564,10.535659,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
3004235,50.680471,6.579459,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
3054708,51.29621,12.6830666667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3072498,55.72456967,12.49544739,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3079289,45.161674,9.956578,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3104501,50.7416140547,-3.5303316813,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3130687,47.586487,10.159017,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3137426,54.257634,9.403439,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3137761,54.257183,9.405584,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3256860,50.429545,6.623662,Tagpfauenauge,Aglais io,European Peacock,Insecta,207977
3305718,59.881812,17.353324,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3318500,42.89147673,23.8119013,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3332776,45.276635,9.761224,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
3400695,45.1763716667,11.2146366667,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3402346,45.397996292,10.6273479607,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3408368,45.193124,11.210085,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3436108,47.453695,10.439356,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3481232,40.773392,16.400614,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3482921,45.0390666667,8.55243,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3504367,44.4091714585,26.1451946131,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3507574,45.1604528333,8.3228333333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3514144,60.2288475037,25.0279197693,European Peacock,Aglais io,European Peacock,Insecta,207977
3519706,42.264752,12.41425,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3527388,40.940749,15.639467,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3644664,43.830216,11.263095,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3648352,49.0814416667,2.213545,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
3659699,41.774664,2.464499,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3661932,51.30363,12.465825,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3665227,43.82623,11.231525,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3667592,61.2161085742,25.4864251614,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3670812,44.6869850375,8.5923331976,Occhio di pavone,Aglais io,European Peacock,Insecta,207977
3681162,49.0718922,2.0278055,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3691570,48.8453562175,9.4544677863,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3692272,49.0739516667,2.01814,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3694595,53.026846,6.596095,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3699308,51.3070616667,12.4689183333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3699312,51.2966066667,12.646465,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3716671,45.3760802558,8.2956289084,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3717729,47.8346240335,12.6338170935,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3719814,54.86,24.21,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3728450,55.7225875854,12.5015420914,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3729677,51.3074216667,12.4737516667,Paó de dia,Aglais io,European Peacock,Insecta,207977
3736041,44.961817084,5.5658438803,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3736374,59.731529331,17.8106430173,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
3736378,59.7340209262,17.813065052,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3736417,48.1237128983,11.4322756324,Paó de dia,Aglais io,European Peacock,Insecta,207977
3737478,50.4044968581,6.5147799253,Paó de dia,Aglais io,European Peacock,Insecta,207977
3746940,48.4336770643,2.0742085576,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3749619,45.2390333333,8.2697833333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3758601,53.2147783333,5.8824516667,European Peacock,Aglais io,European Peacock,Insecta,207977
3758603,53.21532,5.8837,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3764956,52.265516,10.535798,Paon-du-jour,Aglais io,European Peacock,Insecta,207977
3770838,60.2101054876,24.8486065865,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3776402,52.2338768095,0.0807515904,Mariposa pavorreal,Aglais io,European Peacock,Insecta,207977
3776826,49.43657,8.684454,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3778216,55.72227,12.502608,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3811639,45.123505,10.461109,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3812949,44.513942447,18.4736394882,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3814647,50.411857575,6.4606851339,European Peacock,Aglais io,European Peacock,Insecta,207977
3820570,59.27521286,18.14416794,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3821036,51.91443279,-1.30399549,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3821037,51.91442336,-1.30399866,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3822229,50.4441027822,6.4329577982,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3823738,48.3089916667,-4.5485194444,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3824241,55.0587040953,9.7414022684,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3826510,53.6322237336,-8.1923676754,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3833698,50.778424,5.700048,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3841960,49.1189958751,8.6095647141,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3842605,59.280668901,17.8161013861,European Peacock,Aglais io,European Peacock,Insecta,207977
3843481,59.2709486429,17.8434410132,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3844432,46.9697265459,7.1020370034,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3858080,55.9993472222,21.983975,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3874067,49.0291096575,1.9451808929,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3874145,49.6160223746,6.2591594589,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3874166,49.6160745093,6.2591675056,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3874417,49.6159997829,6.2591648233,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3898869,56.1471810777,10.2027242489,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3904038,49.043234,8.600128,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3905884,46.79993496,2.79249723,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3906857,45.686041,7.691556,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3907645,44.7147894,20.5199397,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3910323,44.8439415,20.3663911,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3913241,52.247027,1.618941,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3924988,41.4333510425,13.0805458198,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3932152,59.9272033333,11.2880083333,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
3939431,53.0076463,-9.0017068,European Peacock Butterfly,Aglais io,European Peacock,Insecta,207977
