id,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2917620,42.0380409444,2.2406691944,Ortiga,Urtica dioica,stinging nettle,Plantae,51884
2919493,43.992463,7.318482,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
2922701,48.108293,11.54904,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
2927473,43.721262,6.975557,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
2931575,47.557303,10.74715,Great Nettle,Urtica dioica dioica,Great Nettle,Plantae,53329
3001194,58.296506,14.658584,Urtica dioica,Urtica dioica,stinging nettle,Plantae,51884
3049877,52.0294355695,4.3910483178,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3054463,46.9977111111,7.0159444444,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3059418,52.0233431412,4.3842992093,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3117797,45.221334,10.258804,Ortica,Urtica dioica,stinging nettle,Plantae,51884
3165564,63.42582763,10.35493085,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3180990,46.0590583333,11.2486283333,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3195253,59.1274832,17.9030761,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3216037,59.908756,10.798788,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3250249,51.8487783333,-4.66582,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3250923,51.84712,-4.652145,Grande ortie,Urtica dioica,stinging nettle,Plantae,51884
3266144,45.53868126,9.20904995,Ortica,Urtica dioica,stinging nettle,Plantae,51884
3266444,45.1631821053,10.8087581769,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3267843,49.052934,8.585257,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3268008,45.14427,10.442953,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3279864,45.404588,9.716383,Ortica,Urtica dioica,stinging nettle,Plantae,51884
3313157,45.718907,9.815641,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3321662,41.927708,12.500046,Ortica,Urtica dioica,stinging nettle,Plantae,51884
3321929,41.616468,13.280437,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3331217,44.6956515424,8.8010298375,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3387985,56.2913202,13.6936367,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3392712,62.3612091831,6.5580500756,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3441336,41.8083955381,13.0915567508,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3454968,46.3072334,10.7414966,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3465739,41.525236,13.560557,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3471118,47.0554194444,6.8560416667,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3478794,42.62096,12.251553,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3489638,45.226795,10.700502,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3491619,52.5596658876,13.3990102635,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3493201,46.989831,16.203781,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3497484,44.11493,7.285244,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3541074,41.363599,13.868777,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3567066,44.816892281,7.4927323288,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3588415,59.9357524452,10.7574176773,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3632013,44.1204816779,12.2183203697,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3636443,51.3508468093,12.4436275259,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3637671,51.8274528988,5.8390858769,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3650003,48.712570996,17.3331427574,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3655647,41.5888519286,13.13402462,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3655648,41.5884933469,13.1349639892,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3672844,45.826945,16.024976,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3691650,45.13837873,10.4363548,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3697580,44.111589365,7.2969468387,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3703049,46.0401205326,10.6318100616,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3705549,46.6279296875,11.9306383133,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3728167,47.2524624691,7.3629594594,Ortiga,Urtica dioica,stinging nettle,Plantae,51884
3820405,59.7325879099,17.8018856049,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3832573,47.21918,8.685881,Stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
3834060,48.5280390119,9.0715603351,Stinging Nettle,Urtica dioica,stinging nettle,Plantae,51884
3849733,54.6542472839,25.3036384583,stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
