id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
5046746,25.7439953763,-80.2104244391,Danaus gilippus,Queen,Insecta,51743
5470198,24.6698652,-81.353969,Danaus gilippus,Queen,Insecta,51743
5509510,27.3309116667,-82.4372866667,Danaus gilippus,Queen,Insecta,51743
5613363,30.07737581,-84.1827607155,Danaus gilippus,Queen,Insecta,51743
5666483,29.286878,-83.056018,Danaus gilippus,Queen,Insecta,51743
5690843,25.63464403,-80.33924383,Danaus gilippus,Queen,Insecta,51743
6088087,29.866875,-81.2698444444,Danaus gilippus,Queen,Insecta,51743
6135893,28.6334605,-82.5834947,Danaus gilippus,Queen,Insecta,51743
6146583,26.0736722222,-80.2769916667,Danaus gilippus,Queen,Insecta,51743
6211959,25.7502386266,-80.7665243769,Danaus gilippus,Queen,Insecta,51743
6230679,25.1739804886,-80.8741486073,Danaus gilippus,Queen,Insecta,51743
6230925,25.3961417113,-80.5669283867,Danaus gilippus,Queen,Insecta,51743
6237378,25.3895230738,-80.689524114,Danaus gilippus,Queen,Insecta,51743
6414991,28.85447826,-81.78572779,Danaus gilippus,Queen,Insecta,51743
6682635,28.8003069988,-82.408618927,Danaus gilippus,Queen,Insecta,51743
6713134,30.0879035231,-84.1643071175,Danaus gilippus,Queen,Insecta,51743
6750312,25.8137455473,-80.4327213764,Danaus gilippus,Queen,Insecta,51743
6767338,26.2684866667,-80.1712583333,Danaus gilippus,Queen,Insecta,51743
6820366,26.9644451141,-80.2486114502,Danaus gilippus,Queen,Insecta,51743
6833929,26.698385,-80.134277,Danaus gilippus,Queen,Insecta,51743
6833936,26.843677,-80.135651,Danaus gilippus,Queen,Insecta,51743
6838324,26.15125581,-80.105009079,Danaus gilippus,Queen,Insecta,51743
7062742,26.9434982897,-80.562080293,Danaus gilippus,Queen,Insecta,51743
7065498,26.9433715631,-80.575279444,Danaus gilippus,Queen,Insecta,51743
7067403,27.2397985966,-81.2834772069,Danaus gilippus,Queen,Insecta,51743
7088085,28.672515,-81.691589,Danaus gilippus berenice,,Insecta,50063
7113398,26.6781401839,-80.3273105621,Danaus gilippus,Queen,Insecta,51743
7122022,25.7845259132,-80.1877378766,Danaus gilippus,Queen,Insecta,51743
7143487,26.0268583333,-80.2872,Danaus gilippus,Queen,Insecta,51743
7209377,28.7087410634,-82.4184143543,Danaus gilippus,Queen,Insecta,51743
7254761,26.0268583333,-80.2872,Danaus gilippus,Queen,Insecta,51743
7284471,26.101159975,-80.2235331294,Danaus gilippus,Queen,Insecta,51743
7286934,28.567596,-80.994869,Danaus gilippus,Queen,Insecta,51743
7310296,28.6010709807,-81.1953821275,Danaus gilippus,Queen,Insecta,51743
7527079,27.0326243467,-80.2704356119,Danaus gilippus,Queen,Insecta,51743
7595259,26.6513922897,-80.2212406241,Danaus gilippus,Queen,Insecta,51743
7637317,29.3273486078,-83.0506110191,Danaus gilippus,Queen,Insecta,51743
7654961,27.8743633333,-81.1454,Danaus gilippus,Queen,Insecta,51743
7676317,29.6093707625,-82.304339083,Danaus gilippus,Queen,Insecta,51743
7709128,25.6931622937,-80.37081398,Danaus gilippus,Queen,Insecta,51743
7720939,27.09104624,-80.29611937,Danaus gilippus,Queen,Insecta,51743
7742212,28.4604754447,-80.8332912863,Danaus gilippus,Queen,Insecta,51743
7847154,29.6094533333,-82.3042833333,Danaus gilippus,Queen,Insecta,51743
7930893,26.4980231412,-80.2133880091,Danaus gilippus,Queen,Insecta,51743
7956680,27.802450904,-80.4301367452,Danaus gilippus,Queen,Insecta,51743
8066950,26.6395401618,-80.3595455158,Danaus gilippus,Queen,Insecta,51743
8156958,28.567402,-80.994998,Danaus gilippus,Queen,Insecta,51743
8169849,28.3638671422,-81.211567194,Danaus gilippus,Queen,Insecta,51743
8229378,27.0911026001,-80.2961196899,Danaus gilippus,Queen,Insecta,51743
8229563,29.760548425,-83.5345652841,Danaus gilippus,Queen,Insecta,51743
8269551,27.7541219909,-82.1278007795,Danaus gilippus,Queen,Insecta,51743
8441133,27.0910172246,-80.296083279,Danaus gilippus,Queen,Insecta,51743
8452629,28.6886216667,-82.3374116667,Danaus gilippus,Queen,Insecta,51743
8491545,28.4878,-81.873,Danaus gilippus,Queen,Insecta,51743
8512159,26.3743399151,-81.2705027732,Danaus gilippus,Queen,Insecta,51743
8523543,28.8749166667,-81.6372,Danaus gilippus,Queen,Insecta,51743
8531651,28.00721945,-81.8295666667,Danaus gilippus,Queen,Insecta,51743
8534302,28.6318866667,-81.0318445,Danaus gilippus,Queen,Insecta,51743
8536520,25.8215691332,-81.099534044,Danaus gilippus,Queen,Insecta,51743
8539039,27.825888,-81.21941,Danaus gilippus,Queen,Insecta,51743
8609653,26.4873085,-80.1609995,Danaus gilippus,Queen,Insecta,51743
8690328,28.5065533333,-81.1411445,Danaus gilippus,Queen,Insecta,51743
8758492,29.6052711861,-82.3014271259,Danaus gilippus,Queen,Insecta,51743
8787720,29.6714875898,-84.8491716385,Danaus gilippus,Queen,Insecta,51743
8789354,26.4965030812,-80.064461454,Danaus gilippus,Queen,Insecta,51743
8821506,29.5969829559,-82.3399276733,Danaus gilippus,Queen,Insecta,51743
8910675,29.0046567208,-82.7036831348,Danaus gilippus,Queen,Insecta,51743
8918498,25.3860094642,-80.5658528955,Danaus gilippus,Queen,Insecta,51743
8926450,26.0048472167,-80.1325388333,Danaus gilippus,Queen,Insecta,51743
8952558,28.2256182553,-80.7632660866,Danaus gilippus,Queen,Insecta,51743
8952559,28.2256873591,-80.7632690234,Danaus gilippus,Queen,Insecta,51743
8961538,28.641300278,-80.7356071472,Danaus gilippus,Queen,Insecta,51743
8973534,28.293621,-82.05863,Danaus gilippus,Queen,Insecta,51743
8992872,26.4334262036,-80.9364509565,Danaus gilippus,Queen,Insecta,51743
9002475,28.170836,-81.731868,Danaus gilippus,Queen,Insecta,51743
9155371,26.494311,-80.213069,Danaus gilippus,Queen,Insecta,51743
9173037,26.6292043038,-81.5871348718,Danaus gilippus,Queen,Insecta,51743
9190268,27.9854783333,-81.8609466667,Danaus gilippus,Queen,Insecta,51743
9210978,30.1128536253,-84.137570858,Danaus gilippus,Queen,Insecta,51743
9247091,28.6838110804,-80.7878243923,Danaus gilippus,Queen,Insecta,51743
9251347,29.0421335965,-82.5696004573,Danaus gilippus,Queen,Insecta,51743
9255980,28.0076909014,-81.8252819979,Danaus gilippus,Queen,Insecta,51743
9273860,25.7102182539,-80.7694244385,Danaus gilippus,Queen,Insecta,51743
9290329,27.9890834929,-81.8599033356,Danaus gilippus,Queen,Insecta,51743
9290334,27.9890834929,-81.8599033356,Danaus gilippus,Queen,Insecta,51743
9316819,29.5945091649,-82.2295728064,Danaus gilippus,Queen,Insecta,51743
9327264,28.9124444444,-82.0187083333,Danaus gilippus,Queen,Insecta,51743
9328508,26.3138898224,-81.6347630695,Danaus gilippus,Queen,Insecta,51743
9348318,27.2744853425,-82.2617197037,Danaus gilippus,Queen,Insecta,51743
9369956,27.9885883195,-81.8601608276,Danaus gilippus,Queen,Insecta,51743
9378311,27.9908734239,-81.8533802032,Danaus gilippus,Queen,Insecta,51743
9385412,26.5588935,-81.320601,Danaus gilippus,Queen,Insecta,51743
9386680,26.6855783333,-80.1148833333,Danaus gilippus,Queen,Insecta,51743
9439636,28.6826765716,-80.7632446289,Danaus gilippus,Queen,Insecta,51743
9459013,26.6291925481,-81.5870899129,Danaus gilippus,Queen,Insecta,51743
9487458,25.747988,-80.767158,Danaus gilippus,Queen,Insecta,51743
9488227,25.1388893127,-80.926940918,Danaus gilippus,Queen,Insecta,51743
9488283,25.1388893127,-80.926940918,Danaus gilippus,Queen,Insecta,51743
9540554,27.8110209,-82.3912211,Danaus gilippus,Queen,Insecta,51743
9616077,27.6982721381,-82.4898147583,Danaus gilippus,Queen,Insecta,51743
9633228,26.0743805,-80.32363,Danaus gilippus,Queen,Insecta,51743
9633612,26.0744445,-80.3234466667,Danaus gilippus,Queen,Insecta,51743
9663771,25.0937611667,-80.443695,Danaus gilippus,Queen,Insecta,51743
9696825,26.1424409778,-80.3474972167,Danaus gilippus,Queen,Insecta,51743
9709075,27.9361954,-81.9236316,Danaus gilippus,Queen,Insecta,51743
9862620,29.3628774236,-82.73331642,Danaus gilippus,Queen,Insecta,51743
9874977,28.9958151727,-82.7348399162,Danaus gilippus,Queen,Insecta,51743
9991686,25.6803090186,-80.4079771044,Danaus gilippus,Queen,Insecta,51743
10031358,26.108516,-81.7714079,Danaus gilippus,Queen,Insecta,51743
10048436,29.3630083368,-83.052520752,Danaus gilippus,Queen,Insecta,51743
10244357,27.9913516667,-81.8503316667,Danaus gilippus,Queen,Insecta,51743
10254097,26.8758162459,-81.9084731971,Danaus gilippus,Queen,Insecta,51743
10267588,30.0774129468,-84.1748428345,Danaus gilippus,Queen,Insecta,51743
10380611,26.4759361111,-81.1717083333,Danaus gilippus,Queen,Insecta,51743
10537416,25.86754513,-81.15152763,Danaus gilippus,Queen,Insecta,51743
10586594,28.444718836,-80.8306268348,Danaus gilippus,Queen,Insecta,51743
10659896,25.6805264809,-80.3118436038,Danaus gilippus,Queen,Insecta,51743
10924771,27.5977603501,-82.5574278831,Danaus gilippus,Queen,Insecta,51743
11464365,29.6516344,-82.3248262,Danaus gilippus,Queen,Insecta,51743
11519736,25.7533478318,-80.3799307254,Danaus gilippus,Queen,Insecta,51743
11925542,29.5191633333,-82.3425016667,Danaus gilippus,Queen,Insecta,51743
12057120,25.682206681,-80.2838735282,Danaus gilippus,Queen,Insecta,51743
12124520,27.6947193071,-82.5027322769,Danaus gilippus,Queen,Insecta,51743
12254207,28.1150207003,-82.3161900043,Danaus gilippus,Queen,Insecta,51743
12367777,28.6120966667,-81.158075,Danaus gilippus,Queen,Insecta,51743
12421168,30.0155638889,-83.8675166667,Danaus gilippus,Queen,Insecta,51743
12432928,28.6002067181,-82.3756277562,Danaus gilippus,Queen,Insecta,51743
12671727,28.9984661275,-82.7235424519,Danaus gilippus,Queen,Insecta,51743
12842019,28.691835,-81.130455,Danaus gilippus,Queen,Insecta,51743
12966725,29.7935588,-82.2583297,Danaus gilippus,Queen,Insecta,51743
13017814,26.580405,-81.71447,Danaus gilippus,Queen,Insecta,51743
13089002,28.13975474,-82.238664,Danaus gilippus,Queen,Insecta,51743
13111516,27.7186886083,-81.2959957594,Danaus gilippus,Queen,Insecta,51743
13147935,27.9435876805,-82.4587094142,Danaus gilippus,Queen,Insecta,51743
13204154,28.9456939531,-81.9951939196,Danaus gilippus,Queen,Insecta,51743
13247020,28.945827479,-81.9950909654,Danaus gilippus,Queen,Insecta,51743
13267545,26.0306154,-80.2022979,Danaus gilippus,Queen,Insecta,51743
13322121,26.5588935,-81.320601,Danaus gilippus,Queen,Insecta,51743
13351402,25.7398388277,-80.6740641818,Danaus gilippus,Queen,Insecta,51743
13365228,27.664827,-81.515754,Danaus gilippus,Queen,Insecta,51743
13413497,30.8388926098,-83.9578524458,Danaus gilippus,Queen,Insecta,51743
13453319,28.9029806826,-82.4176728227,Danaus gilippus,Queen,Insecta,51743
13620897,28.4658703769,-80.8331991449,Danaus gilippus,Queen,Insecta,51743
