"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Papilio multicaudata","2017-05-10 11:25:35 +0500","Oruga","Hombres Ilustres San Pedro Miltenco 55790 Santa Ana Nextlalpan, Méx.",19.7395096508,-99.0698780492,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6198668","https://static.inaturalist.org/photos/7781376/medium.png?1494714321","luismaya",6198668,"Xochiquetzal","Insecta",68263,"false",2,0,"2017-05-10 11:25:35 a. m. GMT-05:00","2017-05-10","2017-05-10 06:25:35 UTC","Ekaterinburg",344,NA,NA,"false","gps","gps",NA,481430,"2017-05-13 22:23:42 UTC","2018-02-14 07:01:06 UTC","research","",NA,2,"false"
"Papilio multicaudata","2017-05-13 00:00:00 +0000","","Bosques de San Juan, Club de Golf, San Juan del Rio, Qro., México",20.4154148799,-99.9910891056,"","Two-tailed Swallowtail","http://conabio.inaturalist.org/observations/6193609","https://static.inaturalist.org/photos/7774100/medium.jpg?1494692574","danielt",6193609,"Llamadora","Insecta",68263,"false",3,0,"2017/05/13 8:27 AM UTC","2017-05-13","","UTC",8,NA,NA,"false","","",NA,441640,"2017-05-13 16:34:45 UTC","2017-06-13 23:20:13 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata multicaudata","2017-04-14 12:34:00 -0500","","Río Mixcoac, Ciudad de México, CDMX, Mexico",19.3657116667,-99.2197066667,"","","http://conabio.inaturalist.org/observations/6167074","https://static.inaturalist.org/photos/7733164/medium.jpeg?1494465894","idlegrraphics",6167074,"Llamadora","Insecta",237647,"false",2,0,"2017/04/14 12:34 PM CDT","2017-04-14","2017-04-14 17:34:00 UTC","Central Time (US & Canada)",NA,NA,NA,"false","","",NA,370284,"2017-05-11 02:49:07 UTC","2018-02-14 07:00:34 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-05-10 11:21:00 -0500","Hard to get good spur-of-the-moment photos with iPhone. Associating with red yucca near buildings on Sul Ross State University campus. Photos & entry by CP.","Alpine, TX, USA",30.3633568964,-103.6519825459,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6164039","https://static.inaturalist.org/photos/7729704/medium.jpg?1494453299","pipes_of_fort_davis",6164039,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2017/05/10 11:21 AM CDT","2017-05-10","2017-05-10 16:21:00 UTC","Central Time (US & Canada)",2,NA,NA,"false","","",NA,19402,"2017-05-10 21:35:24 UTC","2017-05-11 00:24:28 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-30 10:04:00 -0500","","El Calvario, Toluca",19.283739,-99.66076,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6151836","https://static.inaturalist.org/photos/7711433/medium.jpeg?1494353259","juancarlosgarciamorales1",6151836,"Llamadora","Insecta",68263,"false",2,0,"2017/04/30 10:04 AM CDT","2017-04-30","2017-04-30 15:04:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,64596,"2017-05-09 18:09:53 UTC","2017-06-13 23:20:12 UTC","research","",NA,NA,"false"
"Papilio multicaudata","2017-04-10 13:03:00 -0500","","University City, Mexico City, CDMX, Mexico",19.3087841674,-99.1796028614,"","Two-tailed Swallowtail","http://conabio.inaturalist.org/observations/6147973","https://static.inaturalist.org/photos/7705799/medium.jpeg?1494306000","idlegrraphics",6147973,"Llamadora","Insecta",68263,"false",2,0,"2017/04/10 1:03 PM CDT","2017-04-10","2017-04-10 18:03:00 UTC","Central Time (US & Canada)",15,"","","false","","",NA,370284,"2017-05-09 05:08:03 UTC","2018-02-14 06:59:56 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-05-07 13:13:00 -1000","","Narciso Mendoza, Ciudad de México, CDMX, México",19.2884826098,-99.1258449554,"","Two-tailed Swallowtail","http://conabio.inaturalist.org/observations/6129226","https://static.inaturalist.org/photos/7675815/medium.jpg?1494186119","serch1979",6129226,"Llamadora","Insecta",68263,"false",3,0,"2017/05/07 1:13 PM HST","2017-05-07","2017-05-07 23:13:00 UTC","Hawaii",8,"","","false","","",NA,308499,"2017-05-07 19:49:06 UTC","2018-02-14 06:59:37 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2009-04-02 17:47:00 -0500","","12400 San Pablo Oztotepec, CDMX, México",19.1861266,-99.0709315,"","Two-tailed Swallowtail","http://conabio.inaturalist.org/observations/6102316","https://static.inaturalist.org/photos/7634144/medium.jpeg?1494009284","borja-molina",6102316,"Llamadora","Insecta",68263,"false",5,0,"2009/04/02 5:47 PM CDT","2009-04-02","2009-04-02 22:47:00 UTC","Central Time (US & Canada)",1530,"","","false","","",NA,273984,"2017-05-05 18:43:40 UTC","2018-02-14 06:58:59 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-09 15:23:00 -0500","Of two choices on this larva, I think this is P. multicaudata.","Zilker Butterfly Garden, Austin, Travis Co., TX",30.2694777778,-97.7730722222,"Butterfly","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6087542","https://static.inaturalist.org/photos/7613385/medium.jpg?1493897186","gcwarbler",6087542,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2017/04/09 3:23 PM CDT","2017-04-09","2017-04-09 20:23:00 UTC","Central Time (US & Canada)",200,"","","false","","",NA,27047,"2017-05-04 11:30:53 UTC","2017-07-31 05:37:13 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-23 08:47:00 -0600","","Cerbat Mtns - near Cherum Peak",35.4272109219,-114.1466188431,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6039336","https://static.inaturalist.org/photos/7565294/medium.jpg?1493661417","micrathene",6039336,"Two-tailed Swallowtail","Insecta",68263,"false",1,0,"2017/04/23 8:47 AM MST","2017-04-23","2017-04-23 14:47:00 UTC","Mountain Time (US & Canada)",650,"","","false","","",NA,322026,"2017-05-01 18:02:01 UTC","2017-05-01 19:17:28 UTC","research","CC-BY-NC",NA,NA,"false"
"Papilio multicaudata","2017-04-30 09:38:00 -0500","","Guanajuato, Gto., México",21.0021064689,-101.2364859597,"","Two-tailed Swallowtail","https://www.inaturalist.org/observations/6029581","https://static.inaturalist.org/photos/7548023/medium.jpeg?1493595534","artmur",6029581,"Llamadora","Insecta",68263,"false",3,0,"2017/04/30 9:38 AM CDT","2017-04-30","2017-04-30 14:38:00 UTC","Central Time (US & Canada)",376,"","","false","","",NA,2365,"2017-04-30 23:42:00 UTC","2017-06-13 23:20:22 UTC","research","",NA,NA,"false"
