id,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
8094587,30.4286716667,-84.348205,Limenitis archippus,Viceroy,Insecta,58586
8152684,29.0420648115,-82.5695353333,Limenitis archippus,Viceroy,Insecta,58586
8160968,30.4290366667,-84.3478383333,Limenitis archippus,Viceroy,Insecta,58586
8306312,28.0737966,-82.3683052,Limenitis archippus,Viceroy,Insecta,58586
8321412,29.4797416667,-82.1613388889,Limenitis archippus,Viceroy,Insecta,58586
8375918,29.6685222222,-82.2387916667,Limenitis archippus,Viceroy,Insecta,58586
8531655,28.007425,-81.8293533333,Limenitis archippus,Viceroy,Insecta,58586
8535072,25.3826315894,-80.6031651824,Limenitis archippus,Viceroy,Insecta,58586
8592963,28.9436095846,-81.3410997391,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
8790399,27.9878402011,-81.8512344243,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
8837465,28.3180688,-80.6659842,Limenitis archippus,Viceroy,Insecta,58586
8837468,28.3180688,-80.6659842,Limenitis archippus,Viceroy,Insecta,58586
8902520,29.5883857652,-82.1722412109,Limenitis archippus,Viceroy,Insecta,58586
8904153,29.5867437171,-82.1724128723,Limenitis archippus,Viceroy,Insecta,58586
8937623,28.7116930722,-81.4599055052,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
8972214,28.293318,-82.061119,Limenitis archippus,Viceroy,Insecta,58586
9003144,28.4394520214,-82.3312707245,Limenitis archippus,Viceroy,Insecta,58586
9006694,25.37452362,-80.50605737,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
9036356,27.8378126678,-82.6684437304,Limenitis archippus,Viceroy,Insecta,58586
9043621,27.2251475536,-82.2953680158,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
9085037,30.6683236,-87.9343311,Limenitis archippus,Viceroy,Insecta,58586
9127064,27.9436042,-81.3706272,Limenitis archippus,Viceroy,Insecta,58586
9212459,27.920653,-81.599121,Limenitis archippus,Viceroy,Insecta,58586
9259156,29.108175,-81.3716966667,Limenitis archippus,Viceroy,Insecta,58586
9276812,28.6415793845,-80.7354140282,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
9385370,26.5588935,-81.320601,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
9510226,27.2852500798,-80.2889871597,Limenitis archippus,Viceroy,Insecta,58586
9765603,25.7627933556,-81.0626220703,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
10010302,28.3734783333,-81.4398633333,Limenitis archippus,Viceroy,Insecta,58586
10031512,29.6366138889,-82.2003472222,Limenitis archippus,Viceroy,Insecta,58586
10086346,28.6860166667,-81.65905,Limenitis archippus,Viceroy,Insecta,58586
10155274,28.0757026672,-82.3745346069,Limenitis archippus,Viceroy,Insecta,58586
10253074,25.5592446282,-80.5668422207,Limenitis archippus,Viceroy,Insecta,58586
10280640,28.101433,-81.882703,Limenitis archippus,Viceroy,Insecta,58586
10283224,25.7617691176,-80.5612038716,Limenitis archippus,Viceroy,Insecta,58586
10365737,25.6727777778,-80.7605555556,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
10385771,25.7546898889,-80.5470677222,Limenitis archippus,Viceroy,Insecta,58586
10490457,26.4992858,-80.2123401,Limenitis archippus,Viceroy,Insecta,58586
10586776,28.5675326036,-80.9812445926,Limenitis archippus,Viceroy,Insecta,58586
10602451,29.6910049791,-82.3986813426,Limenitis archippus,Viceroy,Insecta,58586
10621564,25.6828828442,-80.278968714,Limenitis archippus,Viceroy,Insecta,58586
10681860,25.3857705802,-80.6721720327,Limenitis archippus,Viceroy,Insecta,58586
10687707,25.7569606,-80.7653558,Limenitis archippus,Viceroy,Insecta,58586
10694155,27.3105256464,-82.2592949869,Limenitis archippus floridensis,Florida Viceroy,Insecta,450714
