"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Platanus wrightii","2017-12-21 11:34:00 -0800","","Yavapai County, AZ, USA",34.6113768235,-111.8427369842,"","Arizona sycamore","https://www.inaturalist.org/observations/13114789","https://static.inaturalist.org/photos/19116141/medium.jpeg?1528126872","rojasburke",13114789,"Arizona sycamore","Plantae",167031,"false",1,0,"2017/12/21 11:34 AM PST","2017-12-21","2017-12-21 19:34:00 UTC","Pacific Time (US & Canada)",11,NA,NA,"false","","",NA,538420,"2018-06-04 15:42:16 UTC","2018-06-04 16:18:44 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-05-20 09:16:00 -0500","","Aconchi, Son., México",29.8438754702,-110.2855172753,"","Arizona sycamore","https://www.inaturalist.org/observations/12667162","https://static.inaturalist.org/photos/18331684/medium.jpeg?1526874514","bodofzt",12667162,"Sicómoro de Arizona","Plantae",167031,"false",1,0,"2018/05/20 9:16 AM CDT","2018-05-20","2018-05-20 14:16:00 UTC","Central Time (US & Canada)",NA,NA,NA,"false","","",NA,318516,"2018-05-21 03:57:00 UTC","2018-05-27 23:46:14 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-05-18 10:19:00 -0600","","Maricopa County, AZ, USA",33.9638066667,-111.8787783333,"Platanaceae, Tonto NF","Arizona sycamore","https://www.inaturalist.org/observations/12662180","https://static.inaturalist.org/photos/18322163/medium.jpg?1526864559","stevejones",12662180,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/05/18 10:19 AM MST","2018-05-18","2018-05-18 16:19:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,168545,"2018-05-21 01:09:07 UTC","2018-05-30 01:46:53 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-05-18 09:20:00 -0600","Burl on trunk","Maricopa, Arizona, United States",33.9660733333,-111.865665,"Platanaceae, Tonto NF","Arizona sycamore","https://www.inaturalist.org/observations/12661967","https://static.inaturalist.org/photos/18321381/medium.jpg?1526863940","stevejones",12661967,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/05/18 9:20 AM MST","2018-05-18","2018-05-18 15:20:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,168545,"2018-05-21 01:01:39 UTC","2018-05-21 01:27:18 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-26 12:13:00 -0400","","Pima County, AZ, USA",31.7399383333,-110.88616,"","Arizona sycamore","https://www.inaturalist.org/observations/12647261","https://static.inaturalist.org/photos/18296872/medium.jpg?1526840598","ganeish",12647261,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/04/26 12:13 PM EDT","2018-04-26","2018-04-26 16:13:00 UTC","Eastern Time (US & Canada)",NA,NA,NA,"false","","",NA,566241,"2018-05-20 18:23:31 UTC","2018-05-20 20:05:08 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-05-13 11:19:42 -0600","","Gila National Forest, Datil, NM, US",33.2752916667,-108.2460116667,"","Arizona sycamore","https://www.inaturalist.org/observations/12568233","https://static.inaturalist.org/photos/18160083/medium.jpg?1526619739","imapinemarten",12568233,"Arizona sycamore","Plantae",167031,"false",2,0,"Sun May 13 2018 11:19:42 GMT-0600 (MDT)","2018-05-13","2018-05-13 17:19:42 UTC","Mountain Time (US & Canada)",10,NA,NA,"false","","",NA,813056,"2018-05-18 05:01:23 UTC","2018-05-19 03:09:45 UTC","research","",NA,3,"false"
"Platanus wrightii","2018-05-13 12:32:00 -0600","","Maricopa County, AZ, USA",33.8663083333,-111.4652222222,"","Arizona sycamore","https://www.inaturalist.org/observations/12461538","https://static.inaturalist.org/photos/17978843/medium.jpg?1526333910","radinis",12461538,"Arizona sycamore","Plantae",167031,"false",1,0,"2018/05/13 12:32 PM MST","2018-05-13","2018-05-13 18:32:00 UTC","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,922012,"2018-05-14 21:39:47 UTC","2018-05-15 15:21:13 UTC","research","CC-BY-NC",NA,NA,"false"
"Platanus wrightii","2018-04-22 14:19:56 -0700","","1600 N Page Springs Rd, Cornville, AZ 86325, USA",34.7621688843,-111.8895645142,"","Arizona sycamore","https://www.inaturalist.org/observations/12416779","https://static.inaturalist.org/photos/17901970/medium.jpeg?1526228462","swbirder",12416779,"Arizona sycamore","Plantae",167031,"false",1,0,"2018-04-22 2:19:56 PM PDT","2018-04-22","2018-04-22 21:19:56 UTC","Pacific Time (US & Canada)",NA,NA,NA,"false","gps","gps",NA,13514,"2018-05-13 16:20:58 UTC","2018-05-13 17:25:12 UTC","research","CC-BY-NC",NA,2,"false"
"Platanus wrightii","2017-08-20 14:25:53 -0700","","Pinery Canyon Road, Chiricahua Mountains, Cochise County, AZ",31.971277,-109.331067,"Arizona Sycamore (Platanus wrightii), Pinery Canyon Road, Cochise County, AZ, 8-20-17","Arizona sycamore","https://www.inaturalist.org/observations/12315051","https://static.inaturalist.org/photos/17723282/medium.jpg?1525926301","jaykeller",12315051,"Arizona sycamore","Plantae",167031,"false",1,0,"2017-08-20 14:25:53","2017-08-20","2017-08-20 21:25:53 UTC","Pacific Time (US & Canada)",69,NA,NA,"false","","manual",NA,27743,"2018-05-10 04:25:26 UTC","2018-05-10 13:56:12 UTC","research","",NA,NA,"false"
"Platanus wrightii","2018-05-08 12:44:29 -0600","","Montezuma Castle National Monument, Camp Verde, AZ, US",34.6119160154,-111.8426625198,"","Arizona sycamore","https://www.inaturalist.org/observations/12273269","https://static.inaturalist.org/photos/17650252/medium.jpg?1525808706","haconrad",12273269,"Arizona sycamore","Plantae",167031,"false",1,0,"Tue May 08 2018 12:44:29 GMT-0700 (MST)","2018-05-08","2018-05-08 18:44:29 UTC","Mountain Time (US & Canada)",8,NA,NA,"false","","",NA,750232,"2018-05-08 19:44:43 UTC","2018-05-08 23:39:45 UTC","research","",NA,3,"false"
