"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Lycaena xanthoides","2017-06-29 12:32:00 -0700","","Stanislaus County, CA, USA",37.4418821934,-121.3239097595,"","Great Copper","https://www.inaturalist.org/observations/6857531","https://static.inaturalist.org/photos/8739335/medium.jpg?1498807714","hfabian",6857531,"Great Copper","Insecta",59125,"false",1,0,"2017/06/29 12:32 PM PDT","2017-06-29","2017-06-29 19:32:00 UTC","Pacific Time (US & Canada)",1215,"","","false",NA,"",NA,3342,"2017-06-30 07:28:51 UTC","2017-06-30 14:56:02 UTC","research","",NA,"false"
"Lycaena xanthoides","2017-06-23 09:17:00 -0700","","Julian, CA 92036, USA",33.0706135789,-116.6022563038,"","Great Copper","https://www.inaturalist.org/observations/6776823","https://static.inaturalist.org/photos/8614849/medium.jpeg?1498318428","hikingsandiego",6776823,"Great Copper","Insecta",59125,"false",1,0,"2017/06/23 9:17 AM PDT","2017-06-23","2017-06-23 16:17:00 UTC","Pacific Time (US & Canada)",327,"","","false",NA,"",NA,228955,"2017-06-24 15:35:13 UTC","2017-08-18 02:56:00 UTC","research","CC-BY",NA,"false"
"Lycaena xanthoides","2017-06-23 10:28:00 -0700","","Julian, CA 92036, USA",33.0705589895,-116.601840555,"","Great Copper","https://www.inaturalist.org/observations/6772489","https://static.inaturalist.org/photos/8607668/medium.jpeg?1498265616","milliebasden",6772489,"Great Copper","Insecta",59125,"false",1,0,"2017/06/23 10:28 AM PDT","2017-06-23","2017-06-23 17:28:00 UTC","Pacific Time (US & Canada)",4,"","","false",NA,"",NA,159364,"2017-06-24 01:26:40 UTC","2017-06-25 01:09:34 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2017-06-17 11:39:55 -0700","","Observatory Campground, Palomar Mountain, CA",33.343194,-116.87742,"Great Copper (Lycaena xanthoides), Observatory Campground, Palomar Mountain, CA, 6-17-17 B","Great Copper","https://www.inaturalist.org/observations/6726363","https://static.inaturalist.org/photos/8538619/medium.jpg?1497931655","jaykeller",6726363,"Great Copper","Insecta",59125,"false",1,0,"2017-06-17 11:39:55","2017-06-17","2017-06-17 18:39:55 UTC","Pacific Time (US & Canada)",NA,"","","false",NA,"",NA,27743,"2017-06-20 04:07:22 UTC","2017-06-20 04:16:53 UTC","research","",NA,"false"
"Lycaena xanthoides","2017-05-22 10:34:43 -0700","","Pinnacles National Park, Paicines, CA, US",36.4804538243,-121.1816024164,"","Great Copper","https://www.inaturalist.org/observations/6725860","https://static.inaturalist.org/photos/8537668/medium.jpg?1497928581","euproserpinus",6725860,"Great Copper","Insecta",59125,"false",1,0,"Mon May 22 2017 10:34:43 GMT-0700 (PDT)","2017-05-22","2017-05-22 17:34:43 UTC","Pacific Time (US & Canada)",231,"","","false",NA,"",NA,21370,"2017-06-20 03:16:13 UTC","2017-07-03 20:11:18 UTC","research","CC-BY-NC",3,"false"
"Lycaena xanthoides","2017-06-19 09:21:00 -0700","Mount Diablo Butterfly Count","Contra Costa County, CA, USA",37.9019825769,-121.876552105,"","Great Copper","https://www.inaturalist.org/observations/6725841","https://static.inaturalist.org/photos/8537603/medium.jpeg?1497928261","robberfly",6725841,"Great Copper","Insecta",59125,"false",2,0,"2017/06/19 9:21 AM PDT","2017-06-19","2017-06-19 16:21:00 UTC","Pacific Time (US & Canada)",61,"","","false",NA,"",NA,13979,"2017-06-20 03:14:42 UTC","2017-06-21 06:36:45 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2017-05-28 11:42:00 -0700","","San Benito County, CA, USA",36.3641786954,-120.7561397552,"","Great Copper","https://www.inaturalist.org/observations/6677489","https://static.inaturalist.org/photos/8463568/medium.jpg?1497592680","euproserpinus",6677489,"Great Copper","Insecta",59125,"false",1,0,"2017/05/28 11:42 AM PDT","2017-05-28","2017-05-28 18:42:00 UTC","Pacific Time (US & Canada)",400,"","","false",NA,"",NA,21370,"2017-06-16 06:02:38 UTC","2017-06-16 11:49:45 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2017-06-12 12:29:00 -0700","","San Benito County, CA, USA",36.4672271494,-121.1548662186,"","Great Copper","https://www.inaturalist.org/observations/6619133","https://static.inaturalist.org/photos/8408209/medium.jpeg?1497332459","jmaughn",6619133,"Great Copper","Insecta",59125,"false",2,0,"2017/06/12 12:29 PM PDT","2017-06-12","2017-06-12 19:29:00 UTC","Pacific Time (US & Canada)",100,"","","false",NA,"",NA,2873,"2017-06-13 05:48:22 UTC","2017-06-14 05:18:51 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2017-06-12 11:34:00 -0700","","San Benito County, CA, USA",36.4672271494,-121.1548662186,"","Great Copper","https://www.inaturalist.org/observations/6619126","https://static.inaturalist.org/photos/8408164/medium.jpeg?1497332287","jmaughn",6619126,"Great Copper","Insecta",59125,"false",1,0,"2017/06/12 11:34 AM PDT","2017-06-12","2017-06-12 18:34:00 UTC","Pacific Time (US & Canada)",100,"","","false",NA,"",NA,2873,"2017-06-13 05:48:20 UTC","2017-06-13 07:07:05 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2017-05-28 13:30:36 -0700","First of the season. An Amazing spot @lflint brought me to: Adobe Springs. ","18100–18998 Del Puerto Canyon Rd, Newman, CA, US",37.408405,-121.40918,"","Great Copper","https://www.inaturalist.org/observations/6412733","https://static.inaturalist.org/photos/8092168/medium.jpeg?1496032053","robberfly",6412733,"Great Copper","Insecta",59125,"false",2,0,"Sun May 28 2017 13:30:36 GMT-0700 (PDT)","2017-05-28","2017-05-28 20:30:36 UTC","Pacific Time (US & Canada)",NA,"","","false",NA,"",NA,13979,"2017-05-29 04:24:11 UTC","2017-05-31 04:17:17 UTC","research","CC-BY-NC",3,"false"
"Lycaena xanthoides","2017-05-19 11:21:00 -0700","","San Benito County, CA, USA",36.5019759223,-121.1850671796,"","Great Copper","https://www.inaturalist.org/observations/6280897","https://static.inaturalist.org/photos/7904792/medium.jpeg?1495252302","jmaughn",6280897,"Great Copper","Insecta",59125,"false",1,0,"2017/05/19 11:21 AM PDT","2017-05-19","2017-05-19 18:21:00 UTC","Pacific Time (US & Canada)",519,"","","false",NA,"",NA,2873,"2017-05-20 04:06:29 UTC","2017-05-20 11:29:52 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2013-06-14 18:51:00 -0700","","Marin County, CA, USA",38.0270418548,-122.5173425674,"","Great Copper","https://www.inaturalist.org/observations/4867120","https://static.inaturalist.org/photos/5912426/medium.jpeg?1483082764","mazer",4867120,"Great Copper","Insecta",59125,"false",1,0,"2013/06/14 6:51 PM PDT","2013-06-14","2013-06-15 01:51:00 UTC","Pacific Time (US & Canada)",15,"","","false",NA,"",NA,78845,"2016-12-30 07:26:42 UTC","2016-12-31 02:20:43 UTC","research","",NA,"false"
"Lycaena xanthoides","2016-07-10 10:54:22 -0700","","Pinnacles National Park",36.476353,-121.156446,"","Great Copper","http://www.inaturalist.org/observations/3657506","https://static.inaturalist.org/photos/4234033/medium.jpg?1468197381","danielgeorge",3657506,"Great Copper","Insecta",59125,"false",2,0,"2016-07-10 10:54:22","2016-07-10","2016-07-10 17:54:22 UTC","Pacific Time (US & Canada)",20,"","","false",NA,"",NA,21318,"2016-07-11 00:36:18 UTC","2016-07-11 21:43:23 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2013-07-15 00:00:00 -0600","","Cuyamaca Rancho State Park, California 79, Julian, CA, United States",32.9285397,-116.5589332,"","Great Copper","http://www.inaturalist.org/observations/3645536","https://static.inaturalist.org/photos/4216078/medium.JPG?1468020435","justinscioli",3645536,"Great Copper","Insecta",59125,"false",2,0,"7/15/13","2013-07-15","","Central Time (US & Canada)",NA,"","","false",NA,"",NA,19,"2016-07-08 23:32:39 UTC","2017-04-18 23:08:00 UTC","research","",NA,"false"
"Lycaena xanthoides","2016-06-25 14:26:53 -0700","","21486–21956 New Idria Rd, Paicines, CA, US",36.4199116667,-120.6697833333,"","Great Copper","http://www.inaturalist.org/observations/3527015","https://static.inaturalist.org/photos/4107926/medium.JPG?1466957783","gbentall",3527015,"Great Copper","Insecta",59125,"false",1,0,"Sat Jun 25 2016 14:26:53 GMT-0700 (PDT)","2016-06-25","2016-06-25 21:26:53 UTC","Pacific Time (US & Canada)",NA,"","","false",NA,"",NA,19715,"2016-06-26 16:14:09 UTC","2016-07-08 14:29:41 UTC","research","CC-BY-NC",3,"false"
"Lycaena xanthoides","2016-06-24 13:05:00 -0700","","San Benito County, CA, USA",36.4703447052,-121.1548680063,"","Great Copper","http://www.inaturalist.org/observations/3517767","https://static.inaturalist.org/photos/4097287/medium.JPG?1466831952","jmaughn",3517767,"Great Copper","Insecta",59125,"false",1,0,"2016/06/24 1:05 PM PDT","2016-06-24","2016-06-24 20:05:00 UTC","Pacific Time (US & Canada)",31,"","","false",NA,"",NA,2873,"2016-06-25 05:42:22 UTC","2016-07-11 21:24:57 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-23 00:00:00 -0800","","Van Duesen Road, Julian, CA",33.070379,-116.601846,"","Great Copper","http://www.inaturalist.org/observations/3512205","https://static.inaturalist.org/photos/4089168/medium.JPG?1466737039","milliebasden",3512205,"Great Copper","Insecta",59125,"true",2,0,"2016-06-23","2016-06-23","","Pacific Time (US & Canada)",13,"","","false",NA,"",NA,159364,"2016-06-24 02:57:15 UTC","2016-06-26 23:42:42 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-21 09:32:00 -0700","","Pinnacles National Park",36.504048,-121.197352,"","Great Copper","http://www.inaturalist.org/observations/3499912","https://static.inaturalist.org/photos/4071795/medium.JPG?1466557902","icosahedron",3499912,"Great Copper","Insecta",59125,"false",2,0,"2016-06-21 0932","2016-06-21","2016-06-21 16:32:00 UTC","Pacific Time (US & Canada)",213,"","","false",NA,"",NA,910,"2016-06-22 01:11:40 UTC","2016-08-16 23:02:48 UTC","research","CC-BY",NA,"false"
"Lycaena xanthoides","2016-05-28 12:31:00 -0700","","18383-, 18399 Adobe Canyon Rd, Livermore, CA 94550, USA",37.4084178,-121.4091791,"","Great Copper","http://www.inaturalist.org/observations/3435445","https://static.inaturalist.org/photos/3980280/medium.jpg?1465664037","leslie_flint",3435445,"Great Copper","Insecta",59125,"false",1,0,"2016/05/28 12:31 PM -0700","2016-05-28","2016-05-28 19:31:00 UTC","Arizona",153,"","","false",NA,"",NA,9335,"2016-06-11 17:34:58 UTC","2016-06-20 04:05:25 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-05 12:02:45 -0700","","Santa Clara County, US-CA, US",37.482337,-121.531909,"","Great Copper","http://www.inaturalist.org/observations/3415040","https://static.inaturalist.org/photos/3954058/medium.jpg?1465440203","leslie_flint",3415040,"Great Copper","Insecta",59125,"false",1,0,"2016-06-05 12:02:45","2016-06-05","2016-06-05 19:02:45 UTC","Pacific Time (US & Canada)",5,"","","false",NA,"",NA,9335,"2016-06-09 02:43:21 UTC","2016-09-23 03:29:34 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-07 00:00:00 -0800","","San Benito County, US-CA, US",36.5663185348,-121.1841861494,"","Great Copper","http://www.inaturalist.org/observations/3409674","https://static.inaturalist.org/photos/3946689/medium.jpg?1465399734","jmaughn",3409674,"Great Copper","Insecta",59125,"false",1,0,"2016-06-07","2016-06-07","","Pacific Time (US & Canada)",112,"San Benito Co. CA","obscured","true",NA,"manual",NA,2873,"2016-06-08 15:28:14 UTC","2016-07-27 19:49:46 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-01 00:00:00 -0800","These were common this afternoon around the Chaparral Parking Area with around half a dozen individuals working the row of California Buckwheat along the parking area. ","Pinnacles National Park",36.491757,-121.209413,"","Great Copper","http://www.inaturalist.org/observations/3365717","https://static.inaturalist.org/photos/3886320/medium.JPG?1464899179","rjadams55",3365717,"Great Copper","Insecta",59125,"false",1,0,"2016-06-01","2016-06-01","","Pacific Time (US & Canada)",2,"","","false",NA,"",NA,108450,"2016-06-02 20:26:16 UTC","2016-07-18 21:54:55 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-01 00:00:00 -0800","","California, US",37.255692221,-121.6124655213,"","Great Copper","http://www.inaturalist.org/observations/3361865","https://static.inaturalist.org/photos/3882026/medium.jpg?1464843298","jmaughn",3361865,"Great Copper","Insecta",59125,"false",1,0,"2016-06-01","2016-06-01","","Pacific Time (US & Canada)",48,"Santa Clara Co. CA","obscured","true",NA,"manual",NA,2873,"2016-06-02 04:54:47 UTC","2017-03-25 07:41:52 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-06-01 00:00:00 -0800","","Adobe Springs, Del Puerto Canyon Road, Stanislaus County, CA",37.390124,-121.45036,"","Great Copper","http://www.inaturalist.org/observations/3361720","https://static.inaturalist.org/photos/3881829/medium.JPG?1464841341","leslie_flint",3361720,"Great Copper","Insecta",59125,"false",1,0,"2016-06-01","2016-06-01","","Pacific Time (US & Canada)",105,"","","false",NA,"",NA,9335,"2016-06-02 04:22:17 UTC","2016-09-23 03:25:48 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-05-28 12:30:00 -0700","","Stanislaus, California, United States",37.40815,-121.4093216667,"","Great Copper","http://www.inaturalist.org/observations/3329686","https://static.inaturalist.org/photos/3845369/medium.jpg?1464495978","dpom",3329686,"Great Copper","Insecta",59125,"false",1,0,"2016/05/28 12:30 PM -0700","2016-05-28","2016-05-28 19:30:00 UTC","Arizona",NA,"","","false",NA,"",NA,16101,"2016-05-29 04:29:13 UTC","2016-06-02 00:13:45 UTC","research","CC-BY-NC",NA,"false"
"Lycaena xanthoides","2016-05-28 10:08:49 -0700","","Pinnacles National Park, Paicines, CA, US",36.5189966667,-121.1909783333,"","Great Copper","http://www.inaturalist.org/observations/3325433","https://static.inaturalist.org/photos/3841457/medium.jpg?1464467771","danielgeorge",3325433,"Great Copper","Insecta",59125,"false",1,0,"Sat May 28 2016 10:08:49 GMT-0700 (PDT)","2016-05-28","2016-05-28 17:08:49 UTC","Pacific Time (US & Canada)",10,"","","false",NA,"",NA,21318,"2016-05-28 20:31:48 UTC","2016-07-11 21:22:20 UTC","research","CC-BY-NC",3,"false"
"Lycaena xanthoides","2016-05-21 00:00:00 -0800","At least a dozen Great Coppers were seen feeding on blooming California Buckwheat and other plants. ","Pinnacles National Park",36.492386,-121.172019,"","Great Copper","http://www.inaturalist.org/observations/3304325","https://static.inaturalist.org/photos/3819261/medium.JPG?1464238329","rjadams55",3304325,"Great Copper","Insecta",59125,"false",2,0,"2016-05-21","2016-05-21","","Pacific Time (US & Canada)",16,"","","false",NA,"",NA,108450,"2016-05-26 04:46:22 UTC","2016-05-26 13:41:43 UTC","research","CC-BY-NC",NA,"false"
